0,7264
1,8539
2,3266
3,1981
4,1286
5,1029
6,767
7,726
8,474
9,599
10,341
11,291
12,231
13,252
14,217
15,208
16,182
17,167
18,149
19,147
20,111
21,205
22,129
23,107
24,101
25,99
26,89
27,74
28,71
29,72
30,65
31,65
32,71
33,63
34,56
35,56
36,50
37,56
38,47
39,41
40,39
41,46
42,42
43,35
44,29
45,49
46,31
47,34
48,31
49,38
50,28
51,34
52,26
53,34
54,29
55,21
56,30
57,27
58,25
59,18
60,36
61,29
62,21
63,25
64,30
65,21
66,20
67,26
68,23
69,17
70,22
71,23
72,18
73,18
74,21
75,22
76,19
77,19
78,14
79,14
80,18
81,14
82,19
83,14
84,18
85,14
86,18
87,16
88,19
89,14
90,19
91,15
92,18
93,14
94,11
95,13
96,11
97,10
98,10
99,18
100,14
101,11
102,11
103,8
104,8
105,14
106,11
107,6
108,8
109,11
110,10
111,10
112,9
113,5
114,9
115,8
116,9
117,10
118,16
119,6
120,7
121,9
122,7
123,10
124,10
125,7
126,12
127,9
128,10
129,7
130,10
131,8
132,10
133,8
134,11
135,14
136,7
137,9
138,5
139,9
140,6
141,8
142,11
143,7
144,6
145,5
146,11
147,9
148,12
149,12
150,3
151,10
152,7
153,9
154,8
155,3
156,9
157,9
158,4
159,4
160,8
161,9
162,4
163,5
164,2
165,5
166,7
167,6
168,4
169,7
170,8
171,7
172,5
173,2
174,6
175,1
176,3
177,5
178,3
179,7
180,3
181,4
182,7
183,6
184,5
185,2
186,3
187,7
188,6
189,5
190,3
191,3
192,6
193,2
194,5
195,7
196,4
197,2
198,5
199,5
200,3
201,4
202,4
203,4
204,6
205,3
206,5
207,8
208,2
209,3
210,5
211,4
212,1
213,4
214,5
215,1
216,3
217,5
218,2
219,2
220,4
221,5
222,3
223,1
224,3
225,4
226,3
227,6
228,3
229,1
230,4
231,1
232,3
233,4
234,1
235,3
236,6
237,3
238,2
239,4
240,7
241,2
242,1
243,1
244,3
245,2
246,6
247,3
248,5
249,4
250,4
251,3
252,3
253,1
254,4
255,4
256,1
257,3
258,1
259,5
260,3
261,2
262,2
263,3
264,2
265,4
266,1
267,3
268,2
269,1
270,2
271,2
273,4
274,1
276,1
277,4
278,2
280,1
281,4
282,1
283,2
284,1
285,3
286,2
287,2
288,2
289,1
290,2
291,1
292,1
293,1
294,2
295,4
296,1
298,1
299,1
300,2
301,2
302,3
303,2
305,2
306,3
307,1
308,2
309,3
310,3
312,7
313,2
314,2
315,3
316,3
317,2
318,3
319,2
320,1
321,5
322,2
323,3
324,2
325,2
326,4
327,1
328,2
330,1
331,3
333,5
334,3
335,1
336,2
337,1
339,4
340,1
342,1
343,1
344,1
345,3
346,3
347,2
349,2
350,1
353,2
354,2
355,5
356,3
357,1
358,1
359,2
362,4
363,2
365,2
367,3
368,2
369,1
371,2
372,1
373,3
374,1
375,2
376,1
377,1
378,3
379,2
380,2
381,3
382,1
383,1
384,1
385,1
387,1
388,2
390,3
391,3
393,1
394,3
395,2
398,3
399,3
402,1
404,1
405,1
406,3
407,2
408,1
410,1
411,4
412,3
413,2
414,1
415,1
417,1
420,3
421,1
424,2
425,2
426,2
429,2
430,2
431,1
432,1
433,2
435,4
436,2
438,1
440,1
441,1
442,2
443,2
444,1
446,2
447,1
449,1
451,1
452,2
453,1
456,1
459,2
462,1
463,2
464,1
467,1
474,1
475,1
476,3
479,2
482,1
485,2
487,2
489,3
492,2
493,1
495,1
497,1
498,1
499,1
500,1
502,1
506,1
508,1
509,1
510,1
511,1
512,1
514,2
516,1
518,2
522,1
524,4
525,1
527,1
529,1
530,1
536,2
539,1
540,2
545,1
550,1
553,2
554,1
555,1
556,1
557,2
561,1
562,1
564,1
566,1
567,2
568,1
571,2
580,2
584,1
588,1
591,1
592,1
594,2
595,1
596,1
597,1
601,1
606,1
608,1
610,1
617,2
620,1
622,1
626,1
629,1
631,3
632,1
634,1
635,1
640,1
641,1
649,2
651,2
661,2
662,1
670,1
672,1
675,1
676,2
679,2
682,1
691,1
694,2
695,2
696,1
713,1
715,1
719,1
723,1
725,1
728,1
729,1
731,1
734,1
736,1
738,1
747,1
748,1
750,1
757,1
761,1
762,1
764,1
766,1
775,1
781,1
786,1
790,1
797,1
801,2
802,2
803,1
807,1
811,1
819,1
820,2
827,1
833,1
841,1
845,1
851,1
853,1
854,1
857,1
863,1
864,1
872,1
877,2
879,1
886,1
887,1
900,1
903,1
908,1
914,1
939,1
953,1
956,1
969,1
980,2
981,1
989,1
991,1
994,1
996,1
999,1
1001,1
1003,1
1008,1
1033,1
1047,1
1048,1
1063,1
1067,1
1080,1
1110,1
1128,1
1137,1
1140,1
1142,1
1161,1
1167,1
1172,1
1174,1
1187,1
1193,1
1200,1
1213,1
1217,1
1263,1
1286,1
1288,1
1290,1
1334,1
1344,1
1552,1
1573,1
1598,1
1684,1
1692,1
1727,1
1741,1
1779,1
1820,1
1833,1
1910,1
1917,1
2047,1
2059,1
2080,1
2097,1
2126,1
2202,1
2286,1
2402,1
2420,1
2460,1
2494,1
2555,1
2677,1
2688,1
2742,1
2880,1
3214,1
3993,1
4856,1
5181,1
